NAME_OF_EMPLOYER,REF_NO,ADDRESS
-,-,-
Airport Inn Resort Inc. Co.,-,21 Claude Clarke Ave
A Plus Business Hub,9751025,80 Queen's Drive
Auction Direct Ja. Ltd.,2921328,1-3 Sunset Blvd.
Airlines Technical Support,9776249,Sangster's International Airport
Albion Primary & Junior High,1661919,Albion Road
A'Aveanna Essence,7752009,Lot 770A Rose Heights
Allan's Auto Body Shop,8911877,Salt Spring Road
Architectual Point,761338,"262 Swallow Way, Farm Heights"
A&C Security Services,5861919,Albion
ADS Advertising Design Signs,-,9 North Street
Bethel Assembly of God,3681657,Glendevon
Builder's Reading Resource & Counseling,6665079,King Street
B45 International Ltd,5479977,"Claude Clarke Ave.,"
Brahma Kumaris World Spiritual Org. Ltd.,9881859,16 Leader's Ave.
Bible Way Ministries Int'l,4681292,Flower Hill
Bryan's Veterinery Clinic,5015433,"Coke Ave., Brandon Hill"
Bennett's Chemicals & Fragrances,4300646,278 Cornwall Courts
Brandon Hill Guest House,5821392,"Coke Ave., Brandon Hill"
Bella's Trendy Kloset,4721957,Albion Main Road
Bay Vibez Ltd.,8748493,"4 Bilton Apts., Hart Blvd., Paradise Acre"
Beaux Melanges,4723342,"1305 Calcos Terrace, Cornwall Courts"
Bam's & R Sleek Botique,5929609,"Lot 73 Marigold Cres., Norwood Gdns"
Brown's Laundry & Dry  Cleaning,2838008,Lot 3 Salt Spring Rd
Best Jamaica Product & Services Ltd,1561943,"4 Claude Clarke Ave., Montego Bay"
Champion Image Ltd,2792166,Federal Avenue
Carsmart Auto Traders Ltd,7910482,10 Sunset Blvd.
Central Basic School,3664471,Hendon Norwood
C C Fair Deal Hardware,1920974,Cornwall Courts
Cyber More Café,0909036,"16 North Street, Montego Bay"
Cargil King Solomon,0910950,"City Centre, Montego Bay"
Community Vision Centre of Excellence Ltd,9702580,Albion
Coast & Land Aesthetic Dev. Ltd,6475586,77 Claude Clarke Ave
Commercial Ventures,8561839,Lot 450 Norwood Gardens
Codey Wholesale & Retail,5928064,"18 King Street, Montego Bay"
Cars to Cars Auto Ltd.,8912974,Sunset Blvd. Montego Bay
Coles Car Rental Ltd,2601185,Sunset Blvd. Montego Bay
Chrya Enterprise,9720624,"16 Mavis Craig Ave., Mango Walk"
CM Cleaning Agency,1745090,103 Albion Rd
Calvary United Worship Center,-,Green Pond Road
 Compassionate Franciscan Sis.of the Poor,9704046,Queens Drive
Cleveland Resorts Ltd T/A El Greco,8821647,Queens Drive
Caribbean Cruise Shipping & Tours,4790564,"Claude Clarke Ave.,"
Center of Success Pre School,2673788,Brandon Hill
Cargasm Auto Sales,1561596,"253 Primrose Rd., Rosemount"
Chulani Ja. Ltd,7521313,40 City Centre Building
Carville Car Rentals & Sales,5923495,Ramparts Close
C & K Auto Centre Ltd,0951624,80c Queens Drive
Cornwall College,8660037,"Orange Street, Montego Bay"
Campbell's Super Service,3917036,Hendon Norwood
Cornwall College Tuck Shop,9825043,"Orange Street, Montego Bay"
Chickory Car Rentals Ltd,5601430,80 Queen's Drive
Consumer Real Choice Hardware,0507954,"Codac Street, Flanker"
Cool Runnings Hardware,9906835,"39 Sun Valley Rd., Glendevon"
Chalis Car Rentals,9600982,Federal Avenue
Cornwall College Old Boys Association,3701265,"Orange Street, Montego Bay"
Calvert Gordon & Associates,6750806,110 City Centre Building
Cornwall College Cap Programme,2666436,"Orange Street, Montego Bay"
DKD Plumbing Supplies,4927034,"Buck Toe Lane, Salt Spring"
DF Plumbing & More,3479292,1188 Rose Heights
Drivus Car Rentals Ltd,4602454,10 Sunset Blvd.
Dr. Michael McIntosh,1671536,3 Embassy Place
D Auto Pro Car Care Centre,7401300,Lot 17 Sunvalley Road
D & R Ruddock Developments,5479530,238 Marcus Garvey Drive Rose Heights
Desired Comfort,6621072,"3451 Navis Terrace, Cornwall Courts"
